大妈情歌广场舞《美丽的七仙女》，歌曲温馨甜蜜，舞蹈简单好学！,.\VideoDownload\大妈情歌广场舞《美丽的七仙女》，歌曲温馨甜蜜，舞蹈简单好学！ .mp4
美女现代舞，广场舞《老公老公我爱你》健康舞蹈活力四射,.\VideoDownload\美女现代舞，广场舞《老公老公我爱你》健康舞蹈活力四射 .mp4
热门歌曲《一晃就老了》简单易学的广场舞，美女们跳得好开心,.\VideoDownload\热门歌曲《一晃就老了》简单易学的广场舞，美女们跳得好开心 .mp4
《千金归来》富家女终于找到后妈的软肋，胖丫头李佳立大功了,.\VideoDownload\《千金归来》富家女终于找到后妈的软肋，胖丫头李佳立大功了 .mp4
男友太渣，现场数落女友还求复合，女友反击的漂亮，涂磊鼓掌叫好,.\VideoDownload\男友太渣，现场数落女友还求复合，女友反击的漂亮，涂磊鼓掌叫好 .mp4
女生精选现代舞，广场舞《维西谣》魅力无限,.\VideoDownload\女生精选现代舞，广场舞《维西谣》魅力无限 .mp4
洞房花烛夜，好友们闹洞房，最后一招让新娘脸红了！,.\VideoDownload\洞房花烛夜，好友们闹洞房，最后一招让新娘脸红了！ .mp4
张艺兴叫黄渤跳舞，却唱起临时改编的《最好的舞台》太欢乐了,.\VideoDownload\张艺兴叫黄渤跳舞，却唱起临时改编的《最好的舞台》太欢乐了 .mp4
男生连接吻都不会，女友逼其练吻技，涂磊现场笑到无节操,.\VideoDownload\男生连接吻都不会，女友逼其练吻技，涂磊现场笑到无节操 .mp4
她离婚后嫁给靳东，40岁被宠成公主，生下儿子继承了他的基因,.\VideoDownload\她离婚后嫁给靳东，40岁被宠成公主，生下儿子继承了他的基因 .mp4
年底了，阎维文老师一首《想家的时候》送给在外漂泊的游子！,.\VideoDownload\年底了，阎维文老师一首《想家的时候》送给在外漂泊的游子！ .mp4
草帽姐夫不满名份，一上台就和草帽姐互掐，草帽姐我会生龙凤胎,.\VideoDownload\草帽姐夫不满名份，一上台就和草帽姐互掐，草帽姐我会生龙凤胎 .mp4
美少女原创32步广场舞，动听舞曲《不要在我寂寞的时候说爱我》,.\VideoDownload\美少女原创32步广场舞，动听舞曲《不要在我寂寞的时候说爱我》 .mp4
最新广场舞《夜之光》，时尚流行歌曲好听，舞蹈整齐优美好看极了,.\VideoDownload\最新广场舞《夜之光》，时尚流行歌曲好听，舞蹈整齐优美好看极了 .mp4
《声临其境》“女儿奴”模样藏不住！曾被骂不照顾女儿的秦昊给大家一个惊喜！,.\VideoDownload\《声临其境》“女儿奴”模样藏不住！曾被骂不照顾女儿的秦昊给大家一个惊喜！ .mp4
动感舞蹈《花儿为你开》，舞步洒脱好学，广场舞就是要别具一格！,.\VideoDownload\动感舞蹈《花儿为你开》，舞步洒脱好学，广场舞就是要别具一格！ .mp4
徐峥到宋小宝家蹭饭，看这满满一桌，蘑菇炖小鸡不差钱！,.\VideoDownload\徐峥到宋小宝家蹭饭，看这满满一桌，蘑菇炖小鸡不差钱！ .mp4
陈赫一句话暴露景甜贾玲位置，天才赤赤果然名不虚传，邓超好绝望,.\VideoDownload\陈赫一句话暴露景甜贾玲位置，天才赤赤果然名不虚传，邓超好绝望 .mp4
鬼步广场舞《老妹你真美》，歌曲醉人好听，舞步飘逸好看好学,.\VideoDownload\鬼步广场舞《老妹你真美》，歌曲醉人好听，舞步飘逸好看好学 .mp4
《爱情保卫战》家庭开销全部是妻子出，丈夫一月两千却天天要离婚,.\VideoDownload\《爱情保卫战》家庭开销全部是妻子出，丈夫一月两千却天天要离婚 .mp4
母子齐练太极功夫扇，优美,.\VideoDownload\母子齐练太极功夫扇，优美 .mp4
港媒又曝张柏芝大婚在即，谢霆锋首次公开3胎小儿子DNA,.\VideoDownload\港媒又曝张柏芝大婚在即，谢霆锋首次公开3胎小儿子DNA .mp4
小伙现场表白柳岩，竟直接拿出3幢别墅钥匙，柳岩：滚！,.\VideoDownload\小伙现场表白柳岩，竟直接拿出3幢别墅钥匙，柳岩：滚！ .mp4
男子为娶残疾女孩竟逃婚，现场说出背后真相，涂磊：父母反对吗！,.\VideoDownload\男子为娶残疾女孩竟逃婚，现场说出背后真相，涂磊：父母反对吗！ .mp4
美女鬼步广场舞《花桥流水》，超热门歌曲好听，舞蹈动感飘逸好看,.\VideoDownload\美女鬼步广场舞《花桥流水》，超热门歌曲好听，舞蹈动感飘逸好看 .mp4
广场舞《老妹你真美》，经典情歌好听醉人，舞蹈动感优美好看好学,.\VideoDownload\广场舞《老妹你真美》，经典情歌好听醉人，舞蹈动感优美好看好学 .mp4
一首《只宠你一人》，节奏感强烈，好听极了,.\VideoDownload\一首《只宠你一人》，节奏感强烈，好听极了 .mp4
《爱情保卫战》男友的脾气越来越不好了，评委老师说是你太任性了,.\VideoDownload\《爱情保卫战》男友的脾气越来越不好了，评委老师说是你太任性了 .mp4
拆快递一开始，娜娜是很斯文的，结果画风突变，谢娜疯了手撕鸡！,.\VideoDownload\拆快递一开始，娜娜是很斯文的，结果画风突变，谢娜疯了手撕鸡！ .mp4
广场舞《女人没有错》大姐们刚组团半月，这支舞一周就学会了！,.\VideoDownload\广场舞《女人没有错》大姐们刚组团半月，这支舞一周就学会了！ .mp4
老搭档蔡明潘长江在搭档，小品《想跳就跳》看点十足值得回味,.\VideoDownload\老搭档蔡明潘长江在搭档，小品《想跳就跳》看点十足值得回味 .mp4
心想事成广场舞《兄弟姐妹一家亲》，简单好看现代舞附教学,.\VideoDownload\心想事成广场舞《兄弟姐妹一家亲》，简单好看现代舞附教学 .mp4
男子突然发现了老婆的丑事，气炸了！,.\VideoDownload\男子突然发现了老婆的丑事，气炸了！ .mp4
谢娜力压赵丽颖夺冠，何炅 你该感谢门口的那两头牛！,.\VideoDownload\谢娜力压赵丽颖夺冠，何炅 你该感谢门口的那两头牛！ .mp4
美女跳广场舞《花桥流水》（一），音乐悠扬，舞姿优美,.\VideoDownload\美女跳广场舞《花桥流水》（一），音乐悠扬，舞姿优美 .mp4
美女跳广场舞《老妹你真美》（六），节奏动感，舞姿优美,.\VideoDownload\美女跳广场舞《老妹你真美》（六），节奏动感，舞姿优美 .mp4
广场舞《开心又一年》笑容挂满面，喜庆欢快一学就会！,.\VideoDownload\广场舞《开心又一年》笑容挂满面，喜庆欢快一学就会！ .mp4
27岁女孩，双眼皮长相非常漂亮，涂磊：还有这样臭美的？,.\VideoDownload\27岁女孩，双眼皮长相非常漂亮，涂磊：还有这样臭美的？ .mp4
她天生天籁之音，师从刀郎，一首《情深深雨蒙蒙》力压原唱,.\VideoDownload\她天生天籁之音，师从刀郎，一首《情深深雨蒙蒙》力压原唱 .mp4
女子嫁比她大了20岁的大叔，他却跟前任在一起，涂磊怒了,.\VideoDownload\女子嫁比她大了20岁的大叔，他却跟前任在一起，涂磊怒了 .mp4
渣女嫌贫爱富，多次出轨来求男友原谅，涂磊怒骂！,.\VideoDownload\渣女嫌贫爱富，多次出轨来求男友原谅，涂磊怒骂！ .mp4
刘亦菲自拍没有他拍好看，粉丝受不了刘亦菲自拍,.\VideoDownload\刘亦菲自拍没有他拍好看，粉丝受不了刘亦菲自拍 .mp4
广场舞鬼步舞《雪山姑娘》，哥哥姐姐跳的真好看!,.\VideoDownload\广场舞鬼步舞《雪山姑娘》，哥哥姐姐跳的真好看! .mp4
宋小宝给郭德纲捧哏，把郭德纲逼的只能说：去你的吧！,.\VideoDownload\宋小宝给郭德纲捧哏，把郭德纲逼的只能说：去你的吧！ .mp4
大衣哥吃饭也闲不住，总有人来合影，人气还是那么旺！,.\VideoDownload\大衣哥吃饭也闲不住，总有人来合影，人气还是那么旺！ .mp4
谢娜现场假唱，被何炅当众拆穿，知道真相以后，好吧原谅她了！,.\VideoDownload\谢娜现场假唱，被何炅当众拆穿，知道真相以后，好吧原谅她了！ .mp4
60岁大爷节目现场叫女友小乖乖，真肉麻，涂磊笑的直不起腰,.\VideoDownload\60岁大爷节目现场叫女友小乖乖，真肉麻，涂磊笑的直不起腰 .mp4
渣男现场和导师狡辩，涂磊大骂闭嘴，全场导师都发飙了,.\VideoDownload\渣男现场和导师狡辩，涂磊大骂闭嘴，全场导师都发飙了 .mp4
郭德纲相声：《你要尊重我》爆笑！,.\VideoDownload\郭德纲相声：《你要尊重我》爆笑！ .mp4
涂磊：人不能把自己裹得严严实实，却把他人扒得一丝不挂！,.\VideoDownload\涂磊：人不能把自己裹得严严实实，却把他人扒得一丝不挂！ .mp4
母女俩一起跳经典鬼步舞，大家都说女儿跳的比妈妈好!,.\VideoDownload\母女俩一起跳经典鬼步舞，大家都说女儿跳的比妈妈好! .mp4
20岁灰姑娘嫁入豪门，金星：豪门生活能适应吗,.\VideoDownload\20岁灰姑娘嫁入豪门，金星：豪门生活能适应吗 .mp4
他刚上场宋丹丹就笑歪了嘴！这脱口秀太逗了！东北出人才啊！,.\VideoDownload\他刚上场宋丹丹就笑歪了嘴！这脱口秀太逗了！东北出人才啊！ .mp4
潘长江女儿潘阳离世真相，揭离奇“亡故”背后的阴谋,.\VideoDownload\潘长江女儿潘阳离世真相，揭离奇“亡故”背后的阴谋 .mp4
俞灏明、于朦胧、张云龙《大梦想家》台下明星云集，帅气十足,.\VideoDownload\俞灏明、于朦胧、张云龙《大梦想家》台下明星云集，帅气十足 .mp4
青青世界广场舞《吉祥飞舞》,.\VideoDownload\青青世界广场舞《吉祥飞舞》 .mp4
24岁成影后，嫁给大导演遭家暴，今二婚嫁世界冠军活成这般模样,.\VideoDownload\24岁成影后，嫁给大导演遭家暴，今二婚嫁世界冠军活成这般模样 .mp4
梅艳芳生前最后梅艳芳穿婚纱坚持唱完生前最后一场演唱会，唱完倒,.\VideoDownload\梅艳芳生前最后梅艳芳穿婚纱坚持唱完生前最后一场演唱会，唱完倒 .mp4
岳云鹏于谦相声《跳墙和尚》互损互黑满屏笑点，台下笑声没停过！,.\VideoDownload\岳云鹏于谦相声《跳墙和尚》互损互黑满屏笑点，台下笑声没停过！ .mp4
罗晋唐嫣 甜蜜夫妻在现，好甜蜜啊,.\VideoDownload\罗晋唐嫣 甜蜜夫妻在现，好甜蜜啊 .mp4
爱情保卫战渣男对前任随叫随到，还跪求现任不要离开，赵川想发火,.\VideoDownload\爱情保卫战渣男对前任随叫随到，还跪求现任不要离开，赵川想发火 .mp4
她曾被嘲笑是花瓶，却几次在机场被赞人美心更美,.\VideoDownload\她曾被嘲笑是花瓶，却几次在机场被赞人美心更美 .mp4
动感舞蹈《阳光路上花正开》，舞步欢快简单，大妈人老心不老！,.\VideoDownload\动感舞蹈《阳光路上花正开》，舞步欢快简单，大妈人老心不老！ .mp4
北漂小情侣表演小品，故事打动全场，冯小刚直呼我很喜欢！,.\VideoDownload\北漂小情侣表演小品，故事打动全场，冯小刚直呼我很喜欢！ .mp4
舞韵年华对跳广场舞《男人的苦女人不清楚》,.\VideoDownload\舞韵年华对跳广场舞《男人的苦女人不清楚》 .mp4
老公嫌老婆丑，配不上他！涂磊：她凭什么跟你过这样的日子,.\VideoDownload\老公嫌老婆丑，配不上他！涂磊：她凭什么跟你过这样的日子 .mp4
于谦：我给你抢下来，你这是要疯啊,.\VideoDownload\于谦：我给你抢下来，你这是要疯啊 .mp4
败家娘们再三赌博，一天输光30万，丈夫的决定涂磊都称赞！,.\VideoDownload\败家娘们再三赌博，一天输光30万，丈夫的决定涂磊都称赞！ .mp4
吃了十多年藕才知道，切藕条还有这么简单的方法，方法方便易懂！,.\VideoDownload\吃了十多年藕才知道，切藕条还有这么简单的方法，方法方便易懂！ .mp4
男子再婚后妻子患病住院，儿子有一百万竟不愿拿，涂磊都懵了！,.\VideoDownload\男子再婚后妻子患病住院，儿子有一百万竟不愿拿，涂磊都懵了！ .mp4
广场舞《小苹果》，老少皆宜的舞蹈，一起跟着跳起来吧！,.\VideoDownload\广场舞《小苹果》，老少皆宜的舞蹈，一起跟着跳起来吧！ .mp4
王俊凯上我想和你唱，未来老师竟来到现场，被逼卖萌嗨翻全场,.\VideoDownload\王俊凯上我想和你唱，未来老师竟来到现场，被逼卖萌嗨翻全场 .mp4
青青世界广场舞《老婆最大》,.\VideoDownload\青青世界广场舞《老婆最大》 .mp4
24岁胖女孩直言自己20多岁都老了，全场爆笑，涂磊：你多大啊,.\VideoDownload\24岁胖女孩直言自己20多岁都老了，全场爆笑，涂磊：你多大啊 .mp4
农村男子因妻子生给生个女儿分居24年，当女儿上台，涂磊：好漂亮,.\VideoDownload\农村男子因妻子生给生个女儿分居24年，当女儿上台，涂磊：好漂亮 .mp4
妻子320斤丈夫都不嫌弃她，妻子一上台，观众全部都看呆了,.\VideoDownload\妻子320斤丈夫都不嫌弃她，妻子一上台，观众全部都看呆了 .mp4
小三现场被抛弃，上前怒撕男子，吓坏赵川和涂磊！爱情保卫战,.\VideoDownload\小三现场被抛弃，上前怒撕男子，吓坏赵川和涂磊！爱情保卫战 .mp4
都离婚了还有联系！还敢给前岳父过生日！涂磊：不觉得尴尬吗？,.\VideoDownload\都离婚了还有联系！还敢给前岳父过生日！涂磊：不觉得尴尬吗？ .mp4
广场双人对跳《一晃就老了》，流行的音乐好看的舞蹈，跳得真好,.\VideoDownload\广场双人对跳《一晃就老了》，流行的音乐好看的舞蹈，跳得真好 .mp4
太甜！唐嫣罗晋大婚场地费曝光，每小时2.4万，网友：低调的奢华,.\VideoDownload\太甜！唐嫣罗晋大婚场地费曝光，每小时2.4万，网友：低调的奢华 .mp4
原创大众32步广场舞，流行歌曲《嘴巴嘟嘟》柔美动听,.\VideoDownload\原创大众32步广场舞，流行歌曲《嘴巴嘟嘟》柔美动听 .mp4
动感广场舞《女人没有错》，舞步活力十足，这种舞很多人都在跳,.\VideoDownload\动感广场舞《女人没有错》，舞步活力十足，这种舞很多人都在跳 .mp4
美女一上场就跳起舞来，当她掀开裙子的时候，全场人都被惊到了,.\VideoDownload\美女一上场就跳起舞来，当她掀开裙子的时候，全场人都被惊到了 .mp4
刘劲在《西游记》中竟演过这个角色，真没看出来，讲话太幽默！,.\VideoDownload\刘劲在《西游记》中竟演过这个角色，真没看出来，讲话太幽默！ .mp4
大众16步广场舞《大哥大姐不差钱》，最新形体舞跳出好身材,.\VideoDownload\大众16步广场舞《大哥大姐不差钱》，最新形体舞跳出好身材 .mp4
动感舞蹈《等你等了那么久》，舞步优雅柔美，歌曲新颖时尚！,.\VideoDownload\动感舞蹈《等你等了那么久》，舞步优雅柔美，歌曲新颖时尚！ .mp4
美女跳最新自编32步广场舞《乌苏里船歌》，舞蹈活力无限,.\VideoDownload\美女跳最新自编32步广场舞《乌苏里船歌》，舞蹈活力无限 .mp4
三个闲汉在一起吹牛，吹得也太大了，真搞笑,.\VideoDownload\三个闲汉在一起吹牛，吹得也太大了，真搞笑 .mp4
超火舞蹈《花桥流水》，舞蹈真的好学，闺蜜刚学就会跳了！,.\VideoDownload\超火舞蹈《花桥流水》，舞蹈真的好学，闺蜜刚学就会跳了！ .mp4
动感舞蹈《火火的情郎》，舞步动作非常简单，新手就能跳！,.\VideoDownload\动感舞蹈《火火的情郎》，舞步动作非常简单，新手就能跳！ .mp4
《老爸当家》女人趾高气昂问谁请护工，称要180，谁料女老板直接给300,.\VideoDownload\《老爸当家》女人趾高气昂问谁请护工，称要180，谁料女老板直接给300 .mp4
渣女把痴情男当狗耍，现场还装成白莲花，涂磊犀利点评，精辟,.\VideoDownload\渣女把痴情男当狗耍，现场还装成白莲花，涂磊犀利点评，精辟 .mp4
48岁大叔找22岁女孩，一上台全场惋惜，涂磊怒骂：你老不知耻,.\VideoDownload\48岁大叔找22岁女孩，一上台全场惋惜，涂磊怒骂：你老不知耻 .mp4
北京春晚录制宋小宝林志玲“相亲” 杨树林喊话“李雪琴”,.\VideoDownload\北京春晚录制宋小宝林志玲“相亲” 杨树林喊话“李雪琴” .mp4
性感活力广场舞《马背上的情歌》，舞姿柔美撩人,.\VideoDownload\性感活力广场舞《马背上的情歌》，舞姿柔美撩人 .mp4
原创形体舞，广场舞《十三难》动感时尚,.\VideoDownload\原创形体舞，广场舞《十三难》动感时尚 .mp4
宋小宝一出场，一首歌曲献上、马思纯、周冬雨的表情尴尬了,.\VideoDownload\宋小宝一出场，一首歌曲献上、马思纯、周冬雨的表情尴尬了 .mp4
原创64步广场舞《蓝桥汲水》魅力无限，百看不厌,.\VideoDownload\原创64步广场舞《蓝桥汲水》魅力无限，百看不厌 .mp4
女嘉宾太漂亮，男嘉宾要求她卸妆，不料卸了妆后人更美了,.\VideoDownload\女嘉宾太漂亮，男嘉宾要求她卸妆，不料卸了妆后人更美了 .mp4
母亲骂贪玩儿子：你要是鸡，早宰来吃了，还送鸡项链涂磊笑弯了腰,.\VideoDownload\母亲骂贪玩儿子：你要是鸡，早宰来吃了，还送鸡项链涂磊笑弯了腰 .mp4
